key,text,notes,english
version,4.7,,4.7
pdf_title,6000 χρόνια ανθρώπινης ιστορίας οπτικοποιημένη,,6000 years human history visualized
pdf_subject,Χρονοδιάγραμμα της ανθρωπότητας,,Timeline of humankind
BCE,B.C.E.,,B.C.E.
CE,C.E.,,C.E.
year,έτος,"timespan, age (Adam was 130 years old when Shem was born)",year
years,χρόνια,,years
years_age,χρόνια,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,μήνας,,month
months,μήνες,,months
day,ημέρα,,day
days,ημέρες,,days
to,προς την,,to
people,Ανθρωποι,,people
judges,δικαστές,,judges
prophets,προφήτες,,prophets
kings,βασιλιάδες,,kings
periods,έμμηνα,,periods
events,εκδηλώσεις,,events
objects,αντικείμενα ή αντικείμενα,,objects or items
Deluge,Κατακλυσμός,,Deluge
Adam,Αδάμ,Luke 3:38,Adam
Seth,Ο Σεθ,,Seth
Enosh,Enosh,,Enosh
Kenan,Κενάν,,Kenan
Mahalalel,Μαχαλαλεήλ,,Mahalalel
Jared,Ο Τζάρεντ,,Jared
Enoch,Ενώχ,,Enoch
Methuselah,Μαθουσάλας,Luke 3:37,Methuselah
Lamech,Lamech,,Lamech
Noah,Νώε,,Noah
Shem,Shem,,Shem
Arpachshad,Arpachshad,Luke 3:36,Arpachshad
Shelah,Shelah,,Shelah
Eber,Έμπερ,,Eber
Peleg,Peleg,,Peleg
Reu,Reu,,Reu
Serug,Serug,Luke 3:35,Serug
Nahor,Ναχόρ,Genesis 11:24 ,Nahor
Terah,Τεράχ,,Terah
Abraham,Αβραάμ,,Abraham
Isaac,Ισαάκ,,Isaac
Jacob,Ιάκωβος,Luke 3:34,Jacob
Joseph,Ιωσήφ,Genesis 37 ,Joseph
Moses,Μωυσής,,Moses
Othniel,Όθνιελ,Judges 3:9-11,Othniel
Ehud,Εχούντ,Judges 3:15-18,Ehud
Shamgar,Shamgar,Judges 3:31,Shamgar
Barak,Μπαράκ,Judges 4:6,Barak
Gideon,Ο Γκίντεον,Judges 7:1,Gideon
Tola,Τόλα,Judges 10:1,Tola
Jair,Jair,Judges 10:3,Jair
Jephthah,Ο Ιεφθάε,Judges 11:1,Jephthah
Ibzan,Ibzan,Judges 12:8,Ibzan
Elon,Έλον,Judges 12:11,Elon
Abdon,Abdon,Judges 12:13,Abdon
Samson,Σαμψών,Judges 13:24,Samson
Samuel,Σαμουήλ,1 Samuel 1:20,Samuel
Saul,Σαούλ,1 Samuel 9:2,Saul
David,Δαβίδ,1 Samuel 16:13,David
Solomon,Σολομών,1 Kings 2:1,Solomon
Rehoboam,Ροβοάμ,first king of southern kingdom of Juda,Rehoboam
Abijah,Αμπιτζάχ (Αμπιτζάμ),"3 years, also Abijam",Abijah (Abijam)
Asa,Σαν,,Asa
Jehoshaphat,Ο Ιωσαφάτ,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,Ιεχοράμ,,Jehoram
Ahaziah,Ο Αχαζίας,,Ahaziah
Athaliah,Βασίλισσα Αθαλία,Queen Athaliah,Queen Athaliah
Jehoash,Ο Ιωάς,,Jehoash
Amaziah,Αμαζία,,Amaziah
Uzziah,Ουζίας (Αζαρία),also Azariah,Uzziah (Azariah)
Jotham,Jotham,,Jotham
Ahaz,Αχάζ,,Ahaz
Hezekiah,Εζεκίας,,Hezekiah
Manasseh,Ο Μανασσής,,Manasseh
Amon,Amon,,Amon
Josiah,Ο Ιωσίας,,Josiah
Jehoahaz,Ο Ιωάχαζ,Only 3 months,Jehoahaz
Jehoiakim,Ιωακείμ,,Jehoiakim
Jehoiachin,Ο Ιεχοϊακίν,Only 3 months 10 days,Jehoiachin
Zedekiah,Σεδεκίας,,Zedekiah
Jeroboam,ο Ιεροβοάμ,first king of northern 10-tribe kingdom,Jeroboam
Nadab,Nadab,less than 2,Nadab
Baasha,Μπάσα,,Baasha
Elah,Ελάχ,,Elah
Zimri,Ζίμρι,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,Omri και Tibni μαζί,4 years Omri and Tibni,Omri and Tibni together
Omri,Όμρι (μόνος),from 947 Omri alone,Omri (alone)
Ahab,Αχαάβ,,Ahab
Jehoram,Ιεχοράμ,,Jehoram
Jehu,Jehu,,Jehu
Jeoahaz,Jeoahaz,,Jeoahaz
JeoahazJehoash,Ο Ιωάχαζ και ο Ιωάς,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
Jehoash2,Ιεχωάς (μόνος),Jehoash (alone),Jehoash (alone)
Jeroboam2,Ιεροβοάμ Β',,Jeroboam II
Zechariah,Ζαχαρίας,"reign only recorded 6 months, probably only established 792 BCE",Zechariah
Schallum,Schallum,only one month,Schallum
Menahem,Μεναχέμ,,Menahem
Pekahiah,Πεκαχία,,Pekahiah
Pekah,Pekah,,Pekah
Hoshea,Hoshea,9 years from c. 748,Hoshea
Elijah,Ο Ηλίας,,Elijah
Elisha,Ελισαίου,,Elisha
Jonah,Γρουσούζης,,Jonah
Amos,Amos,,Amos
Joel,Τζόελ,,Joel
Hosea,Osea,,Hosea
Isaiah,Ησάιας,,Isaiah
Micah,Ο Μίχας,,Micah
Zephaniah,Σοφονία,,Zephaniah
Nahum,Ναούμ,,Nahum
Jeremiah,Ιερεμίας,,Jeremiah
Habakuk,Ο Χαμπακούκ,,Habakuk
Daniel,Δανιήλ,,Daniel
Ezekiel,Ιεζεκιήλ,,Ezekiel
Obadiah,Ο Obadiah,,Obadiah
Malachi,Μαλαχίας,,Malachi
Ruth,Ρουθ,,Ruth
Ezra,Έζρα,,Ezra
Nehemiah,Ο Νεεμίας,,Nehemiah
Esther,Εσθήρ,,Esther
Job,Δουλειά,,Job
moses2,1593 έως 1473 π.Χ. – 120 χρόνια,,1593 to 1473 B.C.E. – 120 years
moses3,Μωυσής,,Moses
wilderness,Το Ισραήλ στην έρημο 1513 έως 1473 π.Χ. – 40 χρόνια,,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges,1473 έως 1117 π.Χ. – 356 χρόνια,,1473 to 1117 B.C.E. – 356 years
timespan_judges2,Ώρα των κριτών,,Time of the judges
temple1,Nisan 1513 B.C.E. έως Ziv 1034 B.C.E.,,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2,479 χρόνια μέχρι την ανέγερση του ναού – Α΄ Βασιλέων 6:1,1034 BCE,479 years until the temple construction – 1 Kings 6:1
69weeks,Ο Ιησούς βάφτισε το φθινόπωρο του 29 Κ.Χ.,,Jesus baptized autumn 29 C.E.
69weeks2,69 εβδομάδες στον Μεσσία – Δανιήλ 9:25,,69 weeks to the Messiah – Daniel 9:25
jesus_service,"3,5 χρόνια υπηρεσίας του Ιησού, που εκτελέστηκε στις 14 Νισάν, 33 Κ.Χ.",,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E."
jesus_life,Ο Ιησούς γεννήθηκε το 2 π.Χ.,,Jesus born 2 B.C.E.
exile,607 έως 537 π.Χ. – 70 χρόνια (Ιερεμίας 25:11),,607 to 537 B.C.E. – 70 years (Jeremiah 25:11)
exile2,εξορία,,exile
7times,Αποκάλυψη 12:9,,Revelation 12:9
7times2,7 φορές – 2520 χρόνια στο Μεσσιανικό Βασίλειο 1914 Κ.Χ. (Δανιήλ 4:23),,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23)
ww1,Πρώτος Παγκόσμιος Πόλεμος – 1914–1918 C.E.,,World War I – 1914–1918 C.E.
ww2,Δεύτερος Παγκόσμιος Πόλεμος – 1939–1945 C.E.,,World War II – 1939–1945 C.E.
30_year_war,Τριακονταετής Πόλεμος στην Ευρώπη 1618-1648,,Thirty Years' War in Europe 1618-1648
joshua,110 χρόνια,,110 years
joshua2,Ιησούς του ναυή,,Joshua
caleb,περισσότερα από 85 χρόνια,,more than 85 years
caleb2,Caleb,,Caleb
missionary1,"Πρώτο Ιεραποστολικό Ταξίδι του Παύλου, γ. 47-48 μ.Χ. με τον Βαρνάβα και τον Ιωάννη Μάρκο",,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark"
circumcision,"Θέμα περιτομής στην Αντιόχεια, συνέδριο στην Ιερουσαλήμ γ. 49 Κ.Ε.",,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E."
missionary2,Δεύτερο Ιεραποστολικό Ταξίδι γ. 49-52 C.E with Silas (Silvanus),,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)
missionary3,Τρίτο Ιεραποστολικό Ταξίδι γ. 52-56 Κ.Ε.,,Third Missionary Journey c. 52-56 C.E.
caesarea,Παύλος υπό κράτηση στην Καισάρεια γ. 56-58 Κ.Ε.,,Paul in custody in Caesarea c. 56-58 C.E.
rome1,Η πρώτη φυλάκιση του Παύλου στη Ρώμη γ. 59-61 Κ.Ε.,,Paul’s first imprisonment in Rome c. 59-61 C.E.
rome2,"Η δεύτερη φυλάκιση του Παύλου στη Ρώμη γ. 65 Κ.Χ., Β΄ Τιμόθεο γραμμένο, ο Παύλος εκτελέστηκε",,"Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed"
Julius,Ιούλιος,,Julius
Augustus,Ο Αύγουστος,Luke 2:1,Augustus
Tiberius,Τιβέριος,Luke 3:1,Tiberius
Caligula,Καλιγούλας,,Caligula
Claudius,Ο Κλαύδιος,Acts 11:28,Claudius
Nero,Νέρωνας,,Nero
Galba-Otho-Vitellius,"Galba, Otho και Vitellius (Έτος των τεσσάρων αυτοκρατόρων)",,"Galba, Otho and Vitellius (Year of the Four Emperors)"
Vespasian,Βεσπασιανός,,Vespasian
event_exodus,"Έξοδος από την Αίγυπτο στις 14 Νισάν, 1513 Π.Χ.",,"Exodus from Egypt on Nisan 14th, 1513 B.C.E."
event_division_kingdom,Μεραρχία Ισραήλ 997 π.Χ,,Division of Israel 997 BCE
event_destruction_samaria,Καταστροφή της Σαμάρειας 740 π.Χ. από την Ασσυρία,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2,740 π.Χ. από την Ασσυρία,was shortened here for 2 lines,740 B.C.E. by Assyria
event_destruction_jerusalem1,"Καταστροφή της Ιερουσαλήμ 607 π.Χ. από τη Βαβυλώνα, 390 χρόνια μετά τη διαίρεση του βασιλείου (Ιεζεκιήλ 4:5)",,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)"
event_temple_rebuilt,Ναός στην Ιερουσαλήμ που ξαναχτίστηκε το 515 π.Χ.,,Temple in Jerusalem rebuilt 515 B.C.E.
