key,text,notes,english
version,4.7,,4.7
pdf_title,Vizualizirana 6000 godina ljudske povijesti,,6000 years human history visualized
pdf_subject,Vremenska crta čovječanstva,,Timeline of humankind
BCE,pr.n.e.,,B.C.E.
CE,n.e.,,C.E.
year,godina,"timespan, age (Adam was 130 years old when Shem was born)",year
years,godine,,years
years_age,godine,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,mjesec,,month
months,mjeseca,,months
day,dan,,day
days,dana,,days
to,do,,to
people,narod,,people
judges,suci,,judges
prophets,proroci,,prophets
kings,kraljevi,,kings
periods,razdoblja,,periods
events,događanja,,events
objects,predmeta ili predmeta,,objects or items
Deluge,Potop,,Deluge
Adam,Adam,Luke 3:38,Adam
Seth,Seth,,Seth
Enosh,Enosh,,Enosh
Kenan,Kenan,,Kenan
Mahalalel,Mahalalel,,Mahalalel
Jared,Jared,,Jared
Enoch,Enoh,,Enoch
Methuselah,Metuzalem,Luke 3:37,Methuselah
Lamech,Lamech,,Lamech
Noah,Noa,,Noah
Shem,Shem,,Shem
Arpachshad,Arpakšad,Luke 3:36,Arpachshad
Shelah,Shelah,,Shelah
Eber,Eber,,Eber
Peleg,Peleg,,Peleg
Reu,Reu,,Reu
Serug,Serug,Luke 3:35,Serug
Nahor,Nahor,Genesis 11:24 ,Nahor
Terah,Terah,,Terah
Abraham,Abraham,,Abraham
Isaac,Isaac,,Isaac
Jacob,Jakovu,Luke 3:34,Jacob
Joseph,Josipa,Genesis 37 ,Joseph
Moses,Mojsije,,Moses
Othniel,Otniel,Judges 3:9-11,Othniel
Ehud,Ehud,Judges 3:15-18,Ehud
Shamgar,Shamgar,Judges 3:31,Shamgar
Barak,Barak,Judges 4:6,Barak
Gideon,Gideone,Judges 7:1,Gideon
Tola,Tola,Judges 10:1,Tola
Jair,Jair,Judges 10:3,Jair
Jephthah,Jiftah,Judges 11:1,Jephthah
Ibzan,Ibzan,Judges 12:8,Ibzan
Elon,Elon,Judges 12:11,Elon
Abdon,Abdon,Judges 12:13,Abdon
Samson,Samson,Judges 13:24,Samson
Samuel,Samuel,1 Samuel 1:20,Samuel
Saul,Saul,1 Samuel 9:2,Saul
David,David,1 Samuel 16:13,David
Solomon,Solomon,1 Kings 2:1,Solomon
Rehoboam,Roboam,first king of southern kingdom of Juda,Rehoboam
Abijah,Abija (Abijam),"3 years, also Abijam",Abijah (Abijam)
Asa,Kao,,Asa
Jehoshaphat,Jošafat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,Jorame,,Jehoram
Ahaziah,Ahazija,,Ahaziah
Athaliah,Kraljica Atalija,Queen Athaliah,Queen Athaliah
Jehoash,Joash,,Jehoash
Amaziah,Amazija,,Amaziah
Uzziah,Ozija (Azarija),also Azariah,Uzziah (Azariah)
Jotham,Jotam,,Jotham
Ahaz,Ahaz,,Ahaz
Hezekiah,Ezekija,,Hezekiah
Manasseh,Manaše,,Manasseh
Amon,Amon,,Amon
Josiah,Jošija,,Josiah
Jehoahaz,Joahaz,Only 3 months,Jehoahaz
Jehoiakim,Jojakim,,Jehoiakim
Jehoiachin,Jojakin,Only 3 months 10 days,Jehoiachin
Zedekiah,Sidkija,,Zedekiah
Jeroboam,Balonče,first king of northern 10-tribe kingdom,Jeroboam
Nadab,Nadab,less than 2,Nadab
Baasha,Baasha,,Baasha
Elah,Elah,,Elah
Zimri,Zimri,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,Omri i Tibni zajedno,4 years Omri and Tibni,Omri and Tibni together
Omri,Omri (sam),from 947 Omri alone,Omri (alone)
Ahab,Ahab,,Ahab
Jehoram,Jorame,,Jehoram
Jehu,Vješt kočijaš,,Jehu
Jeoahaz,Jeoahaz,,Jeoahaz
JeoahazJehoash,Jeoahaz i Joaš,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
Jehoash2,Joash (sam),Jehoash (alone),Jehoash (alone)
Jeroboam2,Jeroboam II,,Jeroboam II
Zechariah,Zaharija,"reign only recorded 6 months, probably only established 792 BCE",Zechariah
Schallum,Schallum,only one month,Schallum
Menahem,Menahem,,Menahem
Pekahiah,Pekahiah,,Pekahiah
Pekah,Pekah,,Pekah
Hoshea,Hoshea,9 years from c. 748,Hoshea
Elijah,Ilije,,Elijah
Elisha,Elizej,,Elisha
Jonah,Jona,,Jonah
Amos,Amos,,Amos
Joel,Joel,,Joel
Hosea,Hošea,,Hosea
Isaiah,Izaije,,Isaiah
Micah,Micah,,Micah
Zephaniah,Sefanija,,Zephaniah
Nahum,Nahum,,Nahum
Jeremiah,Jeremija,,Jeremiah
Habakuk,Habakuk,,Habakuk
Daniel,Daniel,,Daniel
Ezekiel,Ezekiel,,Ezekiel
Obadiah,Obadija,,Obadiah
Malachi,Malahije,,Malachi
Ruth,Ruth,,Ruth
Ezra,Ezra,,Ezra
Nehemiah,Nehemija,,Nehemiah
Esther,Esther,,Esther
Job,Posao,,Job
moses2,1593. do 1473. p.n.e. – 120 godina,,1593 to 1473 B.C.E. – 120 years
moses3,Mojsije,,Moses
wilderness,Izrael u pustinji 1513. do 1473. p. n. e. – 40 godina,,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges,1473. do 1117. p. n. e. – 356 godina,,1473 to 1117 B.C.E. – 356 years
timespan_judges2,Vrijeme sudaca,,Time of the judges
temple1,nisana 1513. p.n.e. do Ziva 1034. p.n.e.,,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2,479 godina do izgradnje hrama – 1. Kraljevima 6:1,1034 BCE,479 years until the temple construction – 1 Kings 6:1
69weeks,Isus je krstio u jesen 29. n. e.,,Jesus baptized autumn 29 C.E.
69weeks2,69 tjedana do Mesije – Daniel 9:25,,69 weeks to the Messiah – Daniel 9:25
jesus_service,"3,5 godine Isusove službe, izvršeno 14. nisana, 33. n. e.",,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E."
