key,text,notes,english
version,4.7,,4.7
pdf_title,6000 წლიანი კაცობრიობის ისტორია ვიზუალურად,,6000 years human history visualized
pdf_subject,კაცობრიობის ვადები,,Timeline of humankind
BCE,ძვ.წ.,,B.C.E.
CE,C.E.,,C.E.
year,წელიწადი,"timespan, age (Adam was 130 years old when Shem was born)",year
years,წლები,,years
years_age,წლები,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,თვე,,month
months,თვეების,,months
day,დღეს,,day
days,დღეები,,days
to,რომ,,to
people,ხალხი,,people
judges,მოსამართლეები,,judges
prophets,წინასწარმეტყველები,,prophets
kings,მეფეები,,kings
periods,პერიოდები,,periods
events,ივენთი,,events
objects,საგნები ან ნივთები,,objects or items
Deluge,წარღვნა,,Deluge
Adam,ადამ,Luke 3:38,Adam
Seth,სეთი,,Seth
Enosh,ენოში,,Enosh
Kenan,ქენანი,,Kenan
Mahalalel,მაჰალალელი,,Mahalalel
Jared,ჯარედი,,Jared
Enoch,ენოქი,,Enoch
Methuselah,მეთუშალა,Luke 3:37,Methuselah
Lamech,ლამექ,,Lamech
Noah,ნოე,,Noah
Shem,სემ,,Shem
Arpachshad,არფაჩშადი,Luke 3:36,Arpachshad
Shelah,შელა,,Shelah
Eber,ებერი,,Eber
Peleg,პელეგი,,Peleg
Reu,რეუ,,Reu
Serug,სერუგი,Luke 3:35,Serug
Nahor,ნაჰორი,Genesis 11:24 ,Nahor
Terah,ტერაჰ,,Terah
Abraham,აბრაამი,,Abraham
Isaac,ისააკი,,Isaac
Jacob,იაკობ,Luke 3:34,Jacob
Joseph,იოსები,Genesis 37 ,Joseph
Moses,მოსე,,Moses
Othniel,ოთნიელი,Judges 3:9-11,Othniel
Ehud,ეჰუდი,Judges 3:15-18,Ehud
Shamgar,შამგარი,Judges 3:31,Shamgar
Barak,ბარაკ,Judges 4:6,Barak
Gideon,გედეონი,Judges 7:1,Gideon
Tola,ტოლა,Judges 10:1,Tola
Jair,ჯაირი,Judges 10:3,Jair
Jephthah,იფთახი,Judges 11:1,Jephthah
Ibzan,იბზანი,Judges 12:8,Ibzan
Elon,ილონ,Judges 12:11,Elon
Abdon,აბდონი,Judges 12:13,Abdon
Samson,სამსონ,Judges 13:24,Samson
Samuel,სამუელი,1 Samuel 1:20,Samuel
Saul,საული,1 Samuel 9:2,Saul
