key,text,notes,english
version,4.7,,4.7
pdf_title,Vizualizēta 6000 gadu cilvēces vēsture,,6000 years human history visualized
pdf_subject,Cilvēces laika skala,,Timeline of humankind
BCE,B.C.E.,,B.C.E.
CE,C.E.,,C.E.
year,gadā,"timespan, age (Adam was 130 years old when Shem was born)",year
years,gadiem,,years
years_age,gadiem,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,mēnesis,,month
months,mēnešus,,months
day,diena,,day
days,dienas,,days
to,uz,,to
people,cilvēkiem,,people
judges,tiesneši,,judges
prophets,pravieši,,prophets
kings,karaļi,,kings
periods,periodi,,periods
events,notikumiem,,events
objects,priekšmetus vai priekšmetus,,objects or items
Deluge,Plūdi,,Deluge
Adam,Ādams,Luke 3:38,Adam
Seth,Seth,,Seth
Enosh,Enosh,,Enosh
Kenan,Kenans,,Kenan
Mahalalel,Mahalalel,,Mahalalel
Jared,Džareds,,Jared
Enoch,Ēnohs,,Enoch
Methuselah,Metuzāls,Luke 3:37,Methuselah
Lamech,Lamech,,Lamech
Noah,Noa,,Noah
Shem,Shem,,Shem
Arpachshad,Arpačšads,Luke 3:36,Arpachshad
Shelah,Šela,,Shelah
Eber,Eber,,Eber
Peleg,Peleg,,Peleg
Reu,Reu,,Reu
Serug,Serug,Luke 3:35,Serug
Nahor,Nahor,Genesis 11:24 ,Nahor
Terah,Terah,,Terah
Abraham,Ābrahāms,,Abraham
Isaac,Īzaks,,Isaac
Jacob,Jēkabs,Luke 3:34,Jacob
Joseph,Jāzeps,Genesis 37 ,Joseph
Moses,Mozus,,Moses
Othniel,Otniels,Judges 3:9-11,Othniel
Ehud,Ehud,Judges 3:15-18,Ehud
Shamgar,Shamgar,Judges 3:31,Shamgar
Barak,Baraks,Judges 4:6,Barak
Gideon,Gideons,Judges 7:1,Gideon
Tola,Tola,Judges 10:1,Tola
Jair,Jair,Judges 10:3,Jair
Jephthah,Jefta,Judges 11:1,Jephthah
Ibzan,Ibzāna,Judges 12:8,Ibzan
Elon,Īlons,Judges 12:11,Elon
Abdon,Abdon,Judges 12:13,Abdon
Samson,Simsons,Judges 13:24,Samson
Samuel,Samuels,1 Samuel 1:20,Samuel
Saul,Sauls,1 Samuel 9:2,Saul
David,Deivids,1 Samuel 16:13,David
Solomon,Salamans,1 Kings 2:1,Solomon
