key,text,notes,english
version,4.7,,4.7
pdf_title,6000 jaar menselijke geschiedenis in beeld,,6000 years human history visualized
pdf_subject,Tijdlijn van de mensheid,,Timeline of humankind
BCE,v.G.T.,,B.C.E.
CE,CE,,C.E.
year,jaar,"timespan, age (Adam was 130 years old when Shem was born)",year
years,jaren,,years
years_age,jaren,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,maand,,month
months,maanden,,months
day,dag,,day
days,dagen,,days
to,naar,,to
people,mensen,,people
judges,rechters,,judges
prophets,profeten,,prophets
kings,koningen,,kings
periods,periodes,,periods
events,evenementen,,events
objects,voorwerpen of voorwerpen,,objects or items
Deluge,Zondvloed,,Deluge
Adam,Adam,Luke 3:38,Adam
Seth,Seth,,Seth
Enosh,Enos,,Enosh
Kenan,Kenan,,Kenan
Mahalalel,Mahalalel,,Mahalalel
Jared,Jared,,Jared
Enoch,Enoch,,Enoch
Methuselah,Methusalem,Luke 3:37,Methuselah
Lamech,Lamech,,Lamech
Noah,Noach,,Noah
Shem,Sem,,Shem
Arpachshad,Arpakshad,Luke 3:36,Arpachshad
Shelah,Sela,,Shelah
Eber,Eber,,Eber
Peleg,Peleg,,Peleg
Reu,Reu,,Reu
Serug,Serug,Luke 3:35,Serug
Nahor,Nahor,Genesis 11:24 ,Nahor
Terah,Tera,,Terah
Abraham,Abraham,,Abraham
Isaac,Isaak,,Isaac
Jacob,Jakob,Luke 3:34,Jacob
Joseph,Jozef,Genesis 37 ,Joseph
Moses,Mozes,,Moses
Othniel,Othniël,Judges 3:9-11,Othniel
Ehud,Ehud,Judges 3:15-18,Ehud
Shamgar,Shamgar,Judges 3:31,Shamgar
Barak,Barak,Judges 4:6,Barak
Gideon,Gideon,Judges 7:1,Gideon
Tola,Tola,Judges 10:1,Tola
Jair,Jaïr,Judges 10:3,Jair
Jephthah,Jefta,Judges 11:1,Jephthah
Ibzan,Ibzan,Judges 12:8,Ibzan
Elon,Elon,Judges 12:11,Elon
Abdon,Abdon,Judges 12:13,Abdon
Samson,Samson,Judges 13:24,Samson
Samuel,Samuel,1 Samuel 1:20,Samuel
Saul,Saul,1 Samuel 9:2,Saul
David,David,1 Samuel 16:13,David
Solomon,Solomon,1 Kings 2:1,Solomon
Rehoboam,Rehabeam,first king of southern kingdom of Juda,Rehoboam
Abijah,Abia (Abiam),"3 years, also Abijam",Abijah (Abijam)
Asa,Als een,,Asa
Jehoshaphat,Josafat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,Joram,,Jehoram
Ahaziah,Ahazia,,Ahaziah
Athaliah,Koningin Athalia,Queen Athaliah,Queen Athaliah
Jehoash,Joas,,Jehoash
Amaziah,Amazia,,Amaziah
Uzziah,Uzzia (Azarja),also Azariah,Uzziah (Azariah)
Jotham,Jotam,,Jotham
Ahaz,Achaz,,Ahaz
Hezekiah,Hizkia,,Hezekiah
Manasseh,Manasse,,Manasseh
Amon,Amon,,Amon
Josiah,Josia,,Josiah
Jehoahaz,Joahaz,Only 3 months,Jehoahaz
Jehoiakim,Jojakim,,Jehoiakim
Jehoiachin,Jojachin,Only 3 months 10 days,Jehoiachin
Zedekiah,Zedekia,,Zedekiah
Jeroboam,Jerobeam,first king of northern 10-tribe kingdom,Jeroboam
Nadab,Nadab,less than 2,Nadab
Baasha,Basa,,Baasha
Elah,Ela,,Elah
Zimri,Zimri,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,Omri en Tibni samen,4 years Omri and Tibni,Omri and Tibni together
Omri,Omri (alleen),from 947 Omri alone,Omri (alone)
Ahab,Achab,,Ahab
Jehoram,Joram,,Jehoram
Jehu,Jehu,,Jehu
Jeoahaz,Joahaz,,Jeoahaz
JeoahazJehoash,Joahaz en Joas,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
Jehoash2,Joas (alleen),Jehoash (alone),Jehoash (alone)
Jeroboam2,Jerobeam II,,Jeroboam II
Zechariah,Zacharias,"reign only recorded 6 months, probably only established 792 BCE",Zechariah
Schallum,Schallum,only one month,Schallum
Menahem,Menahem,,Menahem
Pekahiah,Pekahia,,Pekahiah
Pekah,Pekah,,Pekah
Hoshea,Hosea,9 years from c. 748,Hoshea
Elijah,Elia,,Elijah
Elisha,Elisa,,Elisha
Jonah,Jona,,Jonah
Amos,Amos,,Amos
Joel,Joël,,Joel
Hosea,Hosea,,Hosea
Isaiah,Jesaja,,Isaiah
Micah,Micha,,Micah
Zephaniah,Zefanja,,Zephaniah
Nahum,Nahum,,Nahum
Jeremiah,Jeremia,,Jeremiah
Habakuk,Habakuk,,Habakuk
Daniel,Daniël,,Daniel
Ezekiel,Ezechiël,,Ezekiel
Obadiah,Obadja,,Obadiah
Malachi,Maleachi,,Malachi
Ruth,Ruth,,Ruth
Ezra,Esra,,Ezra
Nehemiah,Nehemia,,Nehemiah
Esther,Ester,,Esther
Job,Functie,,Job
moses2,1593 tot 1473 v.G.T. – 120 jaar,,1593 to 1473 B.C.E. – 120 years
moses3,Mozes,,Moses
wilderness,Israël in de wildernis 1513 tot 1473 v.G.T. - 40 jaar,,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges,1473 tot 1117 v.G.T. – 356 jaar,,1473 to 1117 B.C.E. – 356 years
timespan_judges2,Tijd van de juryleden,,Time of the judges
temple1,Nisan 1513 v.G.T. tot Ziv 1034 v.G.T.,,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2,479 jaar tot aan de bouw van de tempel – 1 Koningen 6:1,1034 BCE,479 years until the temple construction – 1 Kings 6:1
69weeks,Jezus doopte in de herfst van 29 G.T.,,Jesus baptized autumn 29 C.E.
