key,text,notes,english
version,4.7,,4.7
pdf_title,6000 yıllık insanlık tarihi görselleştirildi,,6000 years human history visualized
pdf_subject,İnsanlığın zaman çizelgesi,,Timeline of humankind
BCE,M.Ö.,,B.C.E.
CE,C.E.,,C.E.
year,yıl,"timespan, age (Adam was 130 years old when Shem was born)",year
years,yıllar,,years
years_age,yıllar,"years when used as age for a person (different word than years in some languages), like he is 23 years old ",years
age_kings, ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""", 
month,ay,,month
months,aylar,,months
day,gün,,day
days,günler,,days
to,ile,,to
people,insanlar,,people
judges,hakimler,,judges
prophets,peygamberler,,prophets
kings,krallar,,kings
periods,dönemler,,periods
events,olaylar,,events
objects,nesneler veya öğeler,,objects or items
Deluge,Tufan,,Deluge
Adam,Adem,Luke 3:38,Adam
Seth,Seth,,Seth
Enosh,Enoş,,Enosh
Kenan,Kenan,,Kenan
Mahalalel,Mahalalel,,Mahalalel
Jared,Jared,,Jared
Enoch,Enoch,,Enoch
Methuselah,Metuşelah,Luke 3:37,Methuselah
Lamech,Lemek,,Lamech
Noah,Nuh,,Noah
Shem,Şem,,Shem
Arpachshad,Arpakşad,Luke 3:36,Arpachshad
Shelah,Şela,,Shelah
Eber,Eber,,Eber
Peleg,Peleg,,Peleg
Reu,Reu,,Reu
Serug,Serug,Luke 3:35,Serug
Nahor,Nahor,Genesis 11:24 ,Nahor
Terah,Tera,,Terah
Abraham,İbrahim,,Abraham
Isaac,İshak,,Isaac
Jacob,Yakup,Luke 3:34,Jacob
Joseph,Yusuf,Genesis 37 ,Joseph
Moses,Musa,,Moses
Othniel,Otniel,Judges 3:9-11,Othniel
Ehud,Ehud,Judges 3:15-18,Ehud
Shamgar,Şamgar,Judges 3:31,Shamgar
Barak,Barak,Judges 4:6,Barak
Gideon,Gideon,Judges 7:1,Gideon
Tola,Tola,Judges 10:1,Tola
Jair,Jair,Judges 10:3,Jair
Jephthah,Yeftah,Judges 11:1,Jephthah
Ibzan,İbzan,Judges 12:8,Ibzan
Elon,Elon,Judges 12:11,Elon
Abdon,Abdon,Judges 12:13,Abdon
Samson,Samson,Judges 13:24,Samson
Samuel,samuel,1 Samuel 1:20,Samuel
Saul,Saul,1 Samuel 9:2,Saul
David,Davut,1 Samuel 16:13,David
Solomon,Süleyman,1 Kings 2:1,Solomon
Rehoboam,Rehoboam,first king of southern kingdom of Juda,Rehoboam
Abijah,Abiya (Abiyam),"3 years, also Abijam",Abijah (Abijam)
Asa,Olarak,,Asa
Jehoshaphat,Yehoşafat,bce_float = -y+1 - (12-m)/12 – (31-d)/360,Jehoshaphat
Jehoram2,Yehoram,,Jehoram
Ahaziah,Ahazya,,Ahaziah
Athaliah,Kraliçe Athaliah,Queen Athaliah,Queen Athaliah
Jehoash,Yehoaş,,Jehoash
Amaziah,Amatsya,,Amaziah
Uzziah,Uzziya (Azarya),also Azariah,Uzziah (Azariah)
Jotham,Jotham,,Jotham
Ahaz,Ahaz,,Ahaz
Hezekiah,Hizkiya,,Hezekiah
Manasseh,Manaşşe,,Manasseh
Amon,Amon,,Amon
Josiah,Yoşiya,,Josiah
Jehoahaz,Yehoahaz,Only 3 months,Jehoahaz
Jehoiakim,Yehoyakim,,Jehoiakim
Jehoiachin,Yehoyakin,Only 3 months 10 days,Jehoiachin
Zedekiah,Sidkiya,,Zedekiah
Jeroboam,Yarovam,first king of northern 10-tribe kingdom,Jeroboam
Nadab,Nadab,less than 2,Nadab
Baasha,Baaşa,,Baasha
Elah,Ela,,Elah
Zimri,Zimri,Only 7 days in ca. 751 BCE,Zimri
OmriTibni,Omri ve Tibni birlikte,4 years Omri and Tibni,Omri and Tibni together
Omri,Omri (yalnız),from 947 Omri alone,Omri (alone)
Ahab,Ahab,,Ahab
Jehoram,Yehoram,,Jehoram
Jehu,Yehu,,Jehu
Jeoahaz,Yeoahaz,,Jeoahaz
JeoahazJehoash,Yeoahaz ve Yehoaş,For 3 years Jeoahaz and Jeoash reigned together,Jeoahaz and Jehoash
